Kingdom,Phylum,Class,Order,Family,Genus,Species,Red List status,Year assessed
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,curvata,VU,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,NEMICHTHYIDAE,Nemichthys,curvirostris,LC,2015
ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Galeocerdo,cuvier,NT,2009
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TETRAGONURIDAE,Tetragonurus,cuvieri,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Ctenochaetus,cyanocheilus,LC,2012
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,NOMEIDAE,Psenes,cyanophrys,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,cyanopodus,LC,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,EXOCOETIDAE,Cheilopogon,cyanopterus,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,cyclolites,LC,2014
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPLODACTYLIDAE,Bavayia,cyclura,DD,2011
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,cylindraceus,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,cylindriatus,LC,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,cylindrica,NT,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Scapophyllia,cylindrica,LC,2014
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,CYPERALES,CYPERACEAE,Fimbristylis,cymosa,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Hypseleotris,cyprinoides,DD,2012
ANIMALIA,CHORDATA,ACTINOPTERYGII,ELOPIFORMES,MEGALOPIDAE,Megalops,cyprinoides,DD,2012
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,cytherea,LC,2008
ANIMALIA,CHORDATA,AVES,SULIFORMES,SULIDAE,Sula,dactylatra,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Doryrhamphus,dactyliophorus,DD,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,daedalea,LC,2014
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,daenikeri,EN,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,ZEIFORMES,GRAMMICOLEPIDIDAE,Xenolepidichthys,dalgleishi,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,damicornis,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,danae,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,danae,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,danae,VU,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,ALEPOCEPHALIDAE,Bathyprion,danae,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,SCOPELARCHIDAE,Scopelarchoides,danae,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,MICROSTOMATIDAE,Xenophthalmichthys,danae,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,SAPOTACEAE,Pouteria,danikeri,EN,1998
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,darkini,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,TRACHICHTHYIDAE,Gephyroberyx,darwinii,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Podonephelium,davidsonii,EN,2015
ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,PLESIOBATIDAE,Plesiobatis,daviesi,LC,2015
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,dayriti,LC,2013
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ENOPLOMETOPIDAE,Enoplometopus,debelius,DD,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,BERYCIDAE,Beryx,decadactylus,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,decadia,LC,2008
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,PANDANACEAE,Pandanus,decastigma,VU,1998
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,HYDROCHARITALES,HYDROCHARITACEAE,Halophila,decipiens,LC,2010
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,PANDANACEAE,Pandanus,decumbens,VU,1998
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus,decumbens,CR,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,decussata,VU,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Entomacrodus,decussatus,LC,2014
ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,UROLOPHIDAE,Urolophus,deforgesi,LC,2006
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,deformis,NT,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Glyptoparus,delicatulus,LC,2014
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Delphinus,delphis,LC,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,dendrum,VU,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,densa,NT,2014
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Mesoplodon,densirostris,DD,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Sandalolitha,dentata,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Thysanactis,dentex,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,DILLENIACEAE,Hibbertia,deplancheana,NT,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,deplanchei,VU,2010
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Sigaloseps,deplanchei,NT,2011
ANIMALIA,MOLLUSCA,BIVALVIA,CARDIIDA,CARDIIDAE,Tridacna,derasa,VU,1996
ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,desolata,LC,2012
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RUBIALES,RUBIACEAE,Psychotria,deverdiana,VU,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Suezichthys,devisi,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,Pygoplites,diacanthus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Phoxocampus,diacanthus,LC,2016
ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Charmosyna,diadema,CR,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,HOLOCENTRIDAE,Sargocentron,diadema,LC,2016
ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,dianthus,LC,2015
ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,BOLITAENIDAE,Japetella,diaphana,LC,2014
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,CYPERALES,CYPERACEAE,Fimbristylis,dichotoma,LC,2013
ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,Millepora,dichotoma,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,dictynna,LC,2010
ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Philemon,diemenensis,LC,2012
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Holothuria,difficilis,LC,2013
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES,COMMELINACEAE,Commelina,diffusa,LC,2013
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,digitata,LC,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,digitata,NT,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,digitifera,NT,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Oxycheilinus,digramma,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Labroides,dimidiatus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Scarus,dimidiatus,LC,2012
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,diminuta,VU,2008
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,NOTHOFAGACEAE,Nothofagus,discoidea,VU,1998
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Holothuria,discrepans,DD,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,HEMIRAMPHIDAE,Zenarchopterus,dispar,LC,2012
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,distans,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Bolinichthys,distofax,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Meiacanthus,ditrema,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,divaricata,NT,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,djiboutiensis,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Hologymnosus,doliatus,LC,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE,Acropogon,domatifer,VU,1998
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,donei,VU,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Coris,dorsomacula,LC,2010
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sterna,dougallii,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,ONEIRODIDAE,Chaenophryne,draco,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,PEGASIDAE,Eurypegasus,draconis,DD,2010
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Aipysurus,duboisii,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Naucrates,ductor,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,duerdeni,LC,2014
ANIMALIA,CHORDATA,MAMMALIA,SIRENIA,DUGONGIDAE,Dugong,dugon,VU,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Seriola,dumerili,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines,dumerilii,LC,2016
ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Halicampus,dunckeri,LC,2016
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Holothuria,dura,DD,2013
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,dusaveli,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,dussumieri,LC,2012
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Aspidontus,dussumieri,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Istiblennius,dussumieri,LC,2014
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Elattostachys,dzumacensis,VU,1998
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,DILLENIACEAE,Hibbertia,ebracteata,NT,2015
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,ebraeus,LC,2013
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,eburneus,LC,2013
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,echinata,VU,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,echinata,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,echinata,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,echinata,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Zoopilus,echinatus,LC,2008
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Actinopyga,echinites,VU,2013
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,echinulata,VU,2008
ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ORTHALICIDAE,Placostylus,eddystonensis,VU,1996
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,edeni,DD,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Istiblennius,edentulus,LC,2014
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Holothuria,edulis,LC,2013
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,edwardsi,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,efflorescens,DD,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,efflorescens,NT,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Diaphus,effulgens,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,effusa,NT,2008
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,Aglaia,elaeagnoidea,LR/lc,1998
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,OLEACEAE,Jasminum,elatum,VU,2010
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Peponocephala,electra,LC,2008
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,PALMAE,Cyphophoenix,elegans,VU,1998
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,TRIPTERYGIIDAE,Enneapterygius,elegans,LC,2014
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Plerandra,elegantissima,EN,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,elephantotus,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,elongata,NT,2008
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Metaphya,elongata,VU,2009
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Plerandra,elongata,NT,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,GONOSTOMATIDAE,Gonostoma,elongatum,LC,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,elseyi,LC,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,GIGANTACTINIDAE,Gigantactis,elsmani,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINIDAE,Atherion,elymus,LC,2010
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,emaciatus,LC,2013
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,DILLENIACEAE,Hibbertia,emarginata,VU,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Plerandra,emiliana,NT,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Pteragogus,enneacanthus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,BERYCIFORMES,HOLOCENTRIDAE,Sargocentron,ensifer,LC,2016
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POLYCHELIDAE,Polycheles,enthrix,LC,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Chaetodon,ephippium,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Canthigaster,epilampra,LC,2014
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,episcopatus,LC,2013
ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,epomophora,VU,2012
ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,equidens,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CORYPHAENIDAE,Coryphaena,equiselis,LC,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LEIOGNATHIDAE,Leiognathus,equulus,LC,2012
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,ericoides,NT,2010
ANIMALIA,ECHINODERMATA,HOLOTHUROIDEA,ASPIDOCHIROTIDA,HOLOTHURIIDAE,Holothuria,erinaceaus,LC,2013
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHAMNALES,RHAMNACEAE,Alphitonia,erubescens,VU,1998
ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Collocalia,esculenta,LC,2015
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,estivali,DD,2013
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Piliocalyx,eugenioides,EN,2010
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Celatiscincus,euryotis,EN,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Pseudocheilinus,evanidus,LC,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,VERBENACEAE,Vitex,evoluta,EN,1998
ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,Millepora,exaesa,LC,2014
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,excelsus,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Doryrhamphus,excisus,LC,2016
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,exesa,LC,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,exesa,NT,2014
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,exiguus,LC,2013
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Nannoscincus,exos,CR,2011
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,expansa,NT,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,explanata,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,explanulata,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,exquisita,DD,2008
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPLODACTYLIDAE,Bavayia,exsuccida,EN,2010
ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus,exul,CR,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,eydouxi,NT,2014
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Aipysurus,eydouxii,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,DIODONTIDAE,Diodon,eydouxii,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,EUPHORBIACEAE,Phyllanthus,faguetii,LC,2010
ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,falciformis,NT,2009
ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Plegadis,falcinellus,LC,2015
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CIRRHITIDAE,Cirrhitichthys,falco,LC,2016
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LEIOGNATHIDAE,Aurigequula,fasciata,LC,2012
ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,STEGOSTOMIDAE,Stegostoma,fasciatum,VU,2003
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Epinephelus,fasciatus,LC,2008
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Cheilinus,fasciatus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Choerodon,fasciatus,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Hemigymnus,fasciatus,LC,2010
ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter,fasciatus,LC,2012
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Salarias,fasciatus,LC,2014
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,fascicularis,NT,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Idiacanthus,fasciola,LC,2015
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,EBENACEAE,Diospyros,fastidiosa,VU,1998
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE,Acropogon,fatsioides,VU,1998
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,PALMAE,Basselinia,favieri,VU,1998
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,LEGUMINOSAE,Canavalia,favieri,CR,2010
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,DILLENIACEAE,Hibbertia,favieri,CR,2015
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,favulus,NT,2008
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,favus,LC,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Anampses,femininus,LC,2010
ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,fenestrata,VU,2014
ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,ALEPISAURIDAE,Alepisaurus,ferox,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,AULOPIFORMES,BATHYSAURIDAE,Bathysaurus,ferox,LC,2015
ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ODONTASPIDIDAE,Odontaspis,ferox,VU,2016
ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,ferruginea,NT,2015
ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,GINGLYMOSTOMATIDAE,Nebrius,ferrugineus,VU,2003
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,ferrugineus,LC,2013
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys,ferruginoides,LC,2010
ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Caledoniscincus,festivus,LC,2011
ANIMALIA,CHORDATA,ACTINOPTERYGII,MYCTOPHIFORMES,MYCTOPHIDAE,Lampanyctus,festivus,LC,2015
ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ORTHALICIDAE,Placostylus,fibratus,VU,1996
ANIMALIA,ARTHROPODA,INSECTA,ODONATA,CORDULIIDAE,Hemicordulia,fidelis,LC,2009
ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,CONIDAE,Conus,figulinus,LC,2013
ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Sardinella,fijiense,LC,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Thamnaconus,fijiensis,DD,2010
ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Cirripectes,filamentosus,LC,2010
