kingdom,species,year,risk.wt
PLANTAE,Nephrolepis brownii,"NA",0.5
PLANTAE,Pandanus tectorius,"NA",0.5
PLANTAE,Paspalum vaginatum,"NA",0.5
PLANTAE,Pipturus argenteus var. lanosus,"NA",0.5
PLANTAE,Pisonia grandis,"NA",0.5
PLANTAE,Portulaca lutea,"NA",0.5
PLANTAE,Portulaca sp.,"NA",0.5
PLANTAE,Rivina humilis,"NA",0.5
PLANTAE,Scaevola taccada var. taccada,"NA",0.5
PLANTAE,Schleinitzia insularum,"NA",0.5
PLANTAE,Senna glanduligera,"NA",0.5
PLANTAE,Sesuvium portulacastrum,"NA",0.5
PLANTAE,Stenotaphrum micranthum,"NA",0.5
PLANTAE,Suriana maritima,"NA",0.5
PLANTAE,Thuarea involuta,"NA",0.5
PLANTAE,Urochloa subquadripara,"NA",0.5
PLANTAE,Wollastonia lifuana,"NA",0.5
